,Adjective,Count
0,nice,12390
1,expensive,1920
2,good,16948
3,late,1567
4,previous,736
5,quick,895
6,easy,2137
7,little,6241
8,clean,9347
9,comfortable,4403
10,stiff,27
11,high,1692
12,loud,606
13,noisy,994
14,great,21063
15,standard,1352
16,mixed,328
17,free,4035
18,hard,1787
19,concerned,304
20,helpful,5446
21,best,5666
22,busy,1129
23,half,971
24,better,4050
25,left,2552
26,short,1696
27,green,264
28,light,999
29,super,616
30,large,3726
31,separate,587
32,square,1529
33,reasonable,886
34,huge,1967
35,open,2087
36,big,3033
37,far,2159
38,broken,409
39,warm,1172
40,bright,280
41,blue,574
42,happy,1603
43,digital,40
44,surprised,683
45,unique,252
46,wonderful,4039
47,excellent,5994
48,friendly,6662
49,striped,7
50,closed,586
51,lovely,3002
52,awesome,916
53,funny,241
54,second,1498
55,right,4250
56,crazy,196
57,beautiful,4648
58,used,1836
59,welcome,721
60,quiet,2819
61,peaceful,225
62,word,336
63,uncomfortable,272
64,bad,2829
65,glass,746
66,capital,43
67,early,2058
68,interesting,457
69,attractive,212
70,squeaky,19
71,small,6518
72,generous,133
73,pleasant,1585
74,positive,518
75,experienced,466
76,close,3150
77,single,789
78,fabulous,1139
79,double,1240
80,past,644
81,smart,132
82,mild,35
83,negative,784
84,poor,908
85,average,1207
86,tasty,283
87,whimsical,5
88,young,646
89,decent,1005
90,pretty,2517
91,ideal,539
92,cheery,34
93,flat,526
94,fine,1925
95,new,3506
96,steep,197
97,popular,200
98,rude,727
99,difficult,500
100,heavy,189
101,worst,735
102,horrible,544
103,fresh,1494
104,aware,334
105,lucky,327
106,impressive,293
107,polite,626
108,overlooked,257
109,private,651
110,fantastic,2957
111,attentive,566
112,outstanding,582
113,personal,393
114,stylish,317
115,quirky,76
116,attached,166
117,able,1658
118,wrong,712
119,soft,513
120,luxurious,398
121,regular,374
122,tiny,807
123,gray,16
124,total,348
125,safe,1661
126,stale,72
127,ready,1200
128,delightful,204
129,pricey,518
130,slight,172
131,salty,39
132,old,2659
133,possible,486
134,creepy,29
135,drab,38
136,quaint,158
137,willing,366
138,neat,194
139,bustling,57
140,cheap,1088
