,Noun,Count
0,hotel,48785
1,parking,1618
2,good,16948
3,deal,1435
4,stay,15140
5,anniversary,408
6,evening,1852
7,advice,499
8,check,2926
9,view,4594
10,room,34249
11,size,1970
12,bed,4838
13,comfortable,4403
14,neck,30
15,high,1692
16,music,862
17,night,9410
18,morning,3132
19,opening,170
20,closing,105
21,people,6755
22,talking,302
23,hallway,217
24,maybe,867
25,bath,1133
26,goldfish,16
27,touch,662
28,advantage,323
29,location,11002
30,walking,2872
31,distance,1731
32,shopping,1910
33,experience,3247
34,pay,1909
35,nothing,2283
36,special,1323
37,charge,1100
38,diamond,187
39,member,423
40,chain,358
41,shot,75
42,start,976
43,suite,1946
44,website,932
45,description,71
46,bedroom,818
47,bathroom,4953
48,standard,1352
49,reservation,1031
50,desk,4394
51,couch,146
52,clerk,283
53,breakfast,9259
54,embassy,137
55,day,9328
56,offer,932
57,advertising,27
58,guest,907
59,email,376
60,failure,8
61,copy,63
62,manager,1122
63,duty,169
64,reply,49
65,solution,39
66,trip,4913
67,survey,17
68,mail,45
69,guess,602
70,tell,900
71,staff,16185
72,neighborhood,459
73,hood,4
74,block,1108
75,inside,646
76,run,872
77,cell,106
78,phone,838
79,help,1609
80,arrival,1138
81,half,971
82,bottle,749
83,champagne,490
84,chocolate,364
85,foam,27
86,alley,120
87,rise,54
88,building,1729
89,cleaner,110
90,property,1273
91,left,2552
92,short,1696
93,control,212
94,inch,64
95,screen,487
96,green,264
97,shine,23
98,light,999
99,sensitive,70
100,tape,13
101,business,1683
102,unit,177
103,guidance,17
104,use,2753
105,sound,382
106,dock,49
107,book,1577
108,weekend,1437
109,choice,1691
110,rest,936
111,party,768
112,comparison,148
113,square,1529
114,footage,9
115,tub,764
116,whirlpool,40
117,car,1748
118,service,9930
119,price,3705
120,tip,1138
121,driver,385
122,waiting,847
123,person,1411
124,bubble,42
125,gesture,50
126,fish,583
127,impression,267
128,space,1173
129,change,996
130,channel,106
131,way,4075
132,thermostat,50
133,try,2345
134,cover,133
135,face,345
136,blue,574
137,drop,200
138,look,1585
139,play,375
140,box,212
141,work,1918
142,water,4901
143,going,3239
144,unique,252
145,time,9804
146,main,2375
147,downtown,802
148,area,5918
149,pet,52
150,animal,38
151,hair,339
152,sleeping,365
153,wine,1238
154,lobby,3322
155,thought,1876
156,feature,154
157,internet,2237
158,mix,170
159,color,88
160,print,115
161,feel,2252
162,rock,177
163,personality,49
164,game,274
165,downfall,41
166,package,643
167,taxi,1286
168,problem,2893
169,want,4170
170,thing,2306
171,making,935
172,girlfriend,281
173,buddy,9
174,second,1498
175,fact,1140
176,language,472
177,ass,6
178,city,3916
179,head,628
180,issue,659
181,company,372
182,answer,234
183,stadium,58
184,plan,575
185,return,2137
186,walk,6088
187,mind,886
188,right,4250
189,leave,1444
190,police,163
191,presence,43
192,pike,172
193,street,3640
194,waterfront,126
195,coffee,2395
196,dog,137
197,family,2051
198,house,943
199,knock,67
200,doing,590
201,turn,658
202,hit,319
203,floor,4567
204,place,7679
205,online,346
206,travel,1574
207,love,1122
208,husband,2710
209,crazy,196
210,memorial,56
211,friend,607
212,wedding,713
213,talk,299
214,human,31
215,welcome,721
216,sight,225
217,quiet,2819
218,access,1647
219,server,70
220,printing,33
221,afternoon,742
222,reception,1982
223,restaurant,5150
224,food,8965
225,word,336
226,caution,77
227,fit,295
228,table,981
229,stomach,226
230,couple,2113
231,patron,10
232,design,411
233,opinion,405
234,metal,56
235,wood,147
236,glass,746
237,capital,43
238,art,356
239,industry,48
240,reason,559
241,rainy,84
242,chance,358
243,noise,2159
244,office,297
245,plenty,1825
246,spread,193
247,lighting,280
248,storage,197
249,clothing,82
250,luggage,1229
251,job,565
252,market,915
253,museum,409
254,dining,750
255,quality,1549
256,home,2093
257,door,2638
258,men,281
259,maid,749
260,foot,315
261,instance,52
262,employee,155
263,reflection,29
264,hour,1835
265,close,3150
266,pioneer,30
267,rail,107
268,cruise,592
269,bell,310
270,charm,269
271,store,636
272,today,87
273,double,1240
274,curtain,150
275,mom,122
276,past,644
277,delight,92
278,professional,573
279,poor,908
280,value,2339
281,beating,11
282,average,1207
283,wife,1639
284,shop,752
285,league,20
286,western,216
287,exercise,144
288,east,247
289,coast,107
290,vibe,64
291,fun,2096
292,young,646
293,group,988
294,pocket,50
295,ideal,539
296,flat,526
297,panel,57
298,fine,1925
299,library,165
300,concert,60
301,hall,316
302,forever,125
303,heavy,189
304,checking,613
305,tap,156
306,pick,618
307,dollar,314
308,hold,205
309,credit,464
310,card,922
311,week,2757
312,airport,2957
313,leopard,5
314,robe,55
315,complaint,714
316,wifi,161
317,center,1115
318,customer,580
319,checkout,249
320,gift,312
321,man,453
322,garment,5
323,bag,314
324,suitcase,121
325,key,732
326,number,774
327,park,1401
328,working,883
329,oil,52
330,lotion,93
331,blood,36
332,somebody,68
333,sunday,305
334,management,569
335,kind,975
336,supervisor,44
337,wait,1728
338,tone,40
339,downstairs,394
340,paper,278
341,lady,380
342,life,581
343,anybody,101
344,mirror,157
345,post,166
346,entrance,450
347,handle,105
348,flight,1032
349,ride,1233
350,cost,1137
351,private,651
352,case,503
353,kick,42
354,year,1958
355,dinner,2365
356,holiday,1317
357,response,148
358,luck,237
359,finding,386
360,thanks,484
361,centre,990
362,spending,324
363,money,2617
364,refund,95
365,vacation,2556
366,toll,23
367,line,1093
368,assistance,124
369,majority,143
370,attitude,351
371,care,940
372,honesty,37
373,end,1789
374,dash,7
375,saw,1144
376,prompt,158
377,loyalty,12
378,program,97
379,public,676
380,tour,1452
381,television,177
382,player,203
383,means,417
384,personal,393
385,machine,376
386,particular,278
387,lunch,1399
388,tomorrow,61
389,ethernet,27
390,web,237
391,wrong,712
392,sister,321
393,base,331
394,competition,38
395,lot,2878
396,mattress,230
397,chair,509
398,rip,107
399,wall,718
400,fog,23
401,horn,9
402,town,1056
403,boy,177
404,scope,5
405,plate,176
406,crackers,36
407,bar,5093
408,comfort,310
409,hello,145
410,visit,2007
411,labor,38
412,gray,16
413,corner,1092
414,total,348
415,rate,1672
416,tourist,866
417,needle,163
418,bit,3867
419,underground,240
420,safe,1661
421,stand,305
422,shower,2815
423,blanket,88
424,trust,133
425,wont,131
426,gold,158
427,test,26
428,weight,90
429,worth,2532
430,surprise,477
431,option,346
432,nightlife,183
433,queen,423
434,king,1008
435,fellow,115
436,future,337
437,reference,21
438,booking,1033
439,match,87
440,brunch,36
441,following,358
442,window,956
443,district,510
444,project,16
445,yoga,39
446,mat,33
447,helicopter,53
448,visitor,70
449,need,2869
450,upgrade,737
451,north,377
452,net,44
453,result,130
454,sleep,1180
455,read,1632
456,site,914
457,elevator,659
458,possible,486
459,ambulance,20
460,aside,145
461,heating,101
462,plane,259
463,lounge,1313
464,contact,289
465,lever,4
466,well,6
467,star,2298
468,proposition,5
469,fitness,241
470,pool,7143
471,basement,134
472,outrage,2
473,dahlia,4
474,palace,807
475,kitchen,474
476,grocery,151
477,variety,803
478,printer,72
479,hope,566
480,meal,936
481,heart,552
482,terminal,201
483,finish,135
484,west,225
485,armchair,15
486,fridge,721
487,zone,73
488,opposite,370
489,agency,92
490,minute,1953
491,personnel,153
492,availability,74
493,level,793
494,air,1783
495,order,949
496,linen,140
497,balcony,1151
498,reality,85
499,disappointment,288
500,sample,68
501,patio,293
502,step,222
503,lake,96
504,union,428
505,bay,365
506,weather,820
507,major,875
508,drive,556
509,spouse,32
510,sightseeing,371
511,bus,2175
512,figure,215
513,research,178
514,course,987
515,marble,414
516,deep,238
517,consideration,56
518,leg,78
519,attempt,124
520,garage,284
521,confirmation,164
522,gem,352
523,ferry,273
524,swimming,586
525,dark,578
526,gym,614
527,facility,244
528,pizza,486
529,wire,20
530,guarantee,69
531,note,758
532,request,735
533,ice,588
534,registration,29
535,sign,430
536,conservation,2
537,facet,4
538,drain,87
539,maker,168
540,march,467
541,hand,576
542,fly,131
543,cut,250
544,operating,29
545,skeleton,2
546,rating,397
547,hostel,98
548,range,323
549,lift,322
550,familiar,79
551,carpet,347
552,stop,1196
553,prior,444
554,train,1313
555,station,2543
556,map,285
557,discount,190
558,budget,531
559,movie,144
560,version,60
561,middle,724
562,clock,169
563,wake,227
564,flow,46
565,pressure,408
566,conversation,116
567,moron,2
568,owner,196
569,interview,1
570,type,567
571,mention,475
572,cable,448
573,lack,512
574,condition,214
575,character,175
576,baseball,36
577,simple,456
578,driving,233
579,inn,913
580,motel,184
581,usual,371
582,watch,668
583,idea,430
584,mean,325
585,cafe,753
586,exit,156
587,advance,375
588,fault,513
589,boutique,449
590,island,1080
591,spot,617
592,bride,22
593,stone,127
594,deck,137
595,silly,75
596,reserve,304
597,original,203
598,duck,84
599,furniture,521
600,date,142
601,claim,109
602,ear,94
603,fax,56
604,kill,47
605,pub,98
606,rabbit,12
607,hutch,1
608,code,96
609,individual,111
610,stuff,611
611,length,104
612,list,360
613,bet,110
614,woman,302
615,convention,211
616,hill,186
617,south,346
618,road,1032
619,flower,100
620,jewelry,60
621,spill,10
622,pleasure,290
623,set,883
624,wardrobe,120
625,sink,358
626,shelf,134
627,traffic,481
628,silence,24
629,reading,965
630,upstairs,153
631,terrace,449
632,brick,85
633,surrounds,17
634,fireplace,89
635,share,308
636,strip,141
637,beat,468
638,miss,488
639,townhouse,7
640,wish,599
641,month,317
642,million,35
643,skyline,62
644,living,452
645,radio,80
646,manner,78
647,matter,518
648,smile,506
649,eye,148
650,hospitality,194
651,birthday,527
652,tile,128
653,wear,257
654,attention,401
655,race,30
656,cold,1294
657,tolerance,12
658,atmosphere,674
659,grand,817
660,bonus,274
661,whale,9
662,vineyard,3
663,roof,411
664,garden,639
665,breath,82
666,world,1050
667,count,105
668,pine,6
669,purchase,147
670,state,244
671,sunset,121
672,assist,97
673,glasses,206
674,page,39
675,planning,384
676,style,810
677,info,161
678,drug,37
679,happening,113
680,feed,70
681,meter,38
682,fairness,23
683,tea,846
684,toast,273
685,granola,19
686,juice,514
687,yogurt,162
688,interior,229
689,fan,336
690,drunk,99
691,conclusion,81
692,compromise,16
693,girl,221
694,escape,108
695,hip,196
696,maximum,37
697,suck,19
698,mistake,219
699,sheet,88
700,information,444
701,blame,68
702,injury,16
703,fortune,66
704,event,130
705,bakery,95
706,simplicity,7
707,current,60
708,vinyl,5
709,eve,113
710,occasion,146
711,route,189
712,glory,10
713,rocket,10
714,roll,91
715,tonight,17
716,authority,18
717,incompetence,5
718,hospital,149
719,white,752
720,basin,41
721,rectangle,4
722,crown,33
723,spring,156
724,break,670
725,shift,32
726,example,292
727,inconvenience,99
728,buffet,3513
729,clam,7
730,chowder,14
731,salmon,74
732,spinach,8
733,salad,229
734,crab,45
735,priority,92
736,award,26
737,commercial,40
738,regard,46
739,club,2047
740,clue,30
741,common,323
742,kit,62
743,sandwich,111
744,gown,9
745,tray,83
746,security,477
747,guard,76
748,poster,61
749,catch,308
750,plain,132
751,ordinary,84
752,switch,162
753,luxury,651
754,aid,19
755,spray,228
756,notice,325
757,conference,311
